Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price
Rangyai Island,110,Thailand,7.954389999999999,98.447306,1,1,1,0,1,0,0,0,0,0,0,0,0,Ban Ko Kaeo,3.69,160000000.0
Pumpkin Key,26,United States of America,24.713197,-81.55425279999999,1,1,1,0,0,1,0,0,0,0,0,0,0,Cudjoe Key,4.54,95000000.0
Spectabilis Island,460,Bahamas,24.35803210000001,-76.58215279999997,1,1,1,0,1,0,0,0,0,0,0,0,0,Arthur’s Town,60.1,62000000.0
Cave Cay,222,Bahamas,23.901611090339998,-76.26314199536101,1,1,1,0,1,1,0,0,0,0,0,0,0,George Town,40.22,60000000.0
Nengo Nengo Atoll,2223,France,-18.75310201788,-141.80789642334,1,1,1,0,1,0,1,0,0,0,0,0,0,Avarua,1178.3,55778670.24
Darby Island,554,Bahamas,23.8495955,-76.22763370000001,1,1,1,0,1,1,1,0,0,0,1,0,0,George Town,36.18,46000000.0
Dulichium Island,1335,Greece,38.414257277137,21.091775751343,1,1,0,0,0,0,0,0,0,0,0,0,0,Astakós,8.4,44622936.19
Motu Tane,10,France,-16.4490481,-151.7630533,0,1,1,0,1,1,0,0,0,0,0,0,0,Avarua,618.38,39000000.0
Organica Beach,1492,Panama,8.3091734471503,-78.970234166259,0,1,0,0,1,0,0,0,0,0,0,0,0,San Miguel,10.45,38000000.0
Little Ragged Island,700,Bahamas,22.1649094,-75.7051647,1,1,1,0,1,0,0,0,0,0,0,0,0,Gibara,77.87,35000000.0
Big Grand Cay Archipelago,213,Bahamas,27.221578378814996,-78.31628549921899,1,1,1,0,1,1,0,0,0,0,0,0,0,High Rock,42.32,29000000.0
Frozen Cay and Alder Cay,84,Bahamas,25.543680537704,-77.713680267334,1,1,1,0,1,1,0,0,0,0,0,0,0,San Andros,39.08,29000000.0
Bird Cay,250,Bahamas,25.4003556,-77.815285,1,1,0,0,1,0,1,0,0,0,0,0,0,San Andros,27.33,26000000.0
Kanacea Island,3085,Fiji,-17.263613,-179.151735,1,1,0,0,1,0,0,0,0,0,0,0,0,Lau Province,69.2,26000000.0
Nusa Riro,22,Solomon Islands,-8.2876215273616,157.13175418427,1,1,0,0,0,0,0,0,1,0,1,0,0,Gizo,23.57,25000000.0
